post_id,post_type,likes,comments,date_posted,vectorize,content,metadata,username
3006228480118787576,static-image,4232,8,2023-01-01T16:26:23,"A post with username:""arshgoyalyt"", post_id: ""3006228480118787576"", post_type: ""static-image"", likes: 4232, comments: 8, date_posted: ""2023-01-01T16:26:23"".","A post with username:""arshgoyalyt"", post_id: ""3006228480118787576"", post_type: ""static-image"", likes: 4232, comments: 8, date_posted: ""2023-01-01T16:26:23"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
3004806999196871095,static-image,5789,30,2022-12-30T17:22:09,"A post with username:""arshgoyalyt"", post_id: ""3004806999196871095"", post_type: ""static-image"", likes: 5789, comments: 30, date_posted: ""2022-12-30T17:22:09"".","A post with username:""arshgoyalyt"", post_id: ""3004806999196871095"", post_type: ""static-image"", likes: 5789, comments: 30, date_posted: ""2022-12-30T17:22:09"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
3001900395858400402,static-image,4748,11,2022-12-26T17:07:15,"A post with username:""arshgoyalyt"", post_id: ""3001900395858400402"", post_type: ""static-image"", likes: 4748, comments: 11, date_posted: ""2022-12-26T17:07:15"".","A post with username:""arshgoyalyt"", post_id: ""3001900395858400402"", post_type: ""static-image"", likes: 4748, comments: 11, date_posted: ""2022-12-26T17:07:15"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2997993880301284765,static-image,3129,1,2022-12-21T07:45:42,"A post with username:""arshgoyalyt"", post_id: ""2997993880301284765"", post_type: ""static-image"", likes: 3129, comments: 1, date_posted: ""2022-12-21T07:45:42"".","A post with username:""arshgoyalyt"", post_id: ""2997993880301284765"", post_type: ""static-image"", likes: 3129, comments: 1, date_posted: ""2022-12-21T07:45:42"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2993842124293980111,static-image,9095,13,2022-12-15T14:16:54,"A post with username:""arshgoyalyt"", post_id: ""2993842124293980111"", post_type: ""static-image"", likes: 9095, comments: 13, date_posted: ""2022-12-15T14:16:54"".","A post with username:""arshgoyalyt"", post_id: ""2993842124293980111"", post_type: ""static-image"", likes: 9095, comments: 13, date_posted: ""2022-12-15T14:16:54"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2988691699922035903,reels,2847,12,2022-12-08T11:49:01,"A post with username:""arshgoyalyt"", post_id: ""2988691699922035903"", post_type: ""reels"", likes: 2847, comments: 12, date_posted: ""2022-12-08T11:49:01"".","A post with username:""arshgoyalyt"", post_id: ""2988691699922035903"", post_type: ""reels"", likes: 2847, comments: 12, date_posted: ""2022-12-08T11:49:01"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
2975551646796366154,static-image,4991,19,2022-11-20T08:36:59,"A post with username:""arshgoyalyt"", post_id: ""2975551646796366154"", post_type: ""static-image"", likes: 4991, comments: 19, date_posted: ""2022-11-20T08:36:59"".","A post with username:""arshgoyalyt"", post_id: ""2975551646796366154"", post_type: ""static-image"", likes: 4991, comments: 19, date_posted: ""2022-11-20T08:36:59"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2974747075975337002,reels,1537,9,2022-11-19T06:04:53,"A post with username:""arshgoyalyt"", post_id: ""2974747075975337002"", post_type: ""reels"", likes: 1537, comments: 9, date_posted: ""2022-11-19T06:04:53"".","A post with username:""arshgoyalyt"", post_id: ""2974747075975337002"", post_type: ""reels"", likes: 1537, comments: 9, date_posted: ""2022-11-19T06:04:53"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
2972863078194384834,static-image,2774,1,2022-11-16T15:35:17,"A post with username:""arshgoyalyt"", post_id: ""2972863078194384834"", post_type: ""static-image"", likes: 2774, comments: 1, date_posted: ""2022-11-16T15:35:17"".","A post with username:""arshgoyalyt"", post_id: ""2972863078194384834"", post_type: ""static-image"", likes: 2774, comments: 1, date_posted: ""2022-11-16T15:35:17"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2971452920575666917,reels,1299,26,2022-11-14T16:59:54,"A post with username:""arshgoyalyt"", post_id: ""2971452920575666917"", post_type: ""reels"", likes: 1299, comments: 26, date_posted: ""2022-11-14T16:59:54"".","A post with username:""arshgoyalyt"", post_id: ""2971452920575666917"", post_type: ""reels"", likes: 1299, comments: 26, date_posted: ""2022-11-14T16:59:54"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
