post_id,post_type,likes,comments,date_posted,vectorize,content,metadata,username
3537666824475450387,static-image,32,1,2025-01-03T22:19:30,"A post with username:""sergi_gsxs"", post_id: ""3537666824475450387"", post_type: ""static-image"", likes: 32, comments: 1, date_posted: ""2025-01-03T22:19:30"".","A post with username:""sergi_gsxs"", post_id: ""3537666824475450387"", post_type: ""static-image"", likes: 32, comments: 1, date_posted: ""2025-01-03T22:19:30"".","{'post_type': 'static-image', 'username': 'sergi_gsxs'}",sergi_gsxs
3523962052496976217,static-image,25,0,2024-12-16T00:30:34,"A post with username:""sergi_gsxs"", post_id: ""3523962052496976217"", post_type: ""static-image"", likes: 25, comments: 0, date_posted: ""2024-12-16T00:30:34"".","A post with username:""sergi_gsxs"", post_id: ""3523962052496976217"", post_type: ""static-image"", likes: 25, comments: 0, date_posted: ""2024-12-16T00:30:34"".","{'post_type': 'static-image', 'username': 'sergi_gsxs'}",sergi_gsxs
3467413039216204065,static-image,28,0,2024-09-28T23:57:46,"A post with username:""sergi_gsxs"", post_id: ""3467413039216204065"", post_type: ""static-image"", likes: 28, comments: 0, date_posted: ""2024-09-28T23:57:46"".","A post with username:""sergi_gsxs"", post_id: ""3467413039216204065"", post_type: ""static-image"", likes: 28, comments: 0, date_posted: ""2024-09-28T23:57:46"".","{'post_type': 'static-image', 'username': 'sergi_gsxs'}",sergi_gsxs
3396706260971309189,reels,37,0,2024-06-23T10:36:54,"A post with username:""sergi_gsxs"", post_id: ""3396706260971309189"", post_type: ""reels"", likes: 37, comments: 0, date_posted: ""2024-06-23T10:36:54"".","A post with username:""sergi_gsxs"", post_id: ""3396706260971309189"", post_type: ""reels"", likes: 37, comments: 0, date_posted: ""2024-06-23T10:36:54"".","{'post_type': 'reels', 'username': 'sergi_gsxs'}",sergi_gsxs
2524901963518148613,static-image,38,0,2021-03-08T13:56:30,"A post with username:""sergi_gsxs"", post_id: ""2524901963518148613"", post_type: ""static-image"", likes: 38, comments: 0, date_posted: ""2021-03-08T13:56:30"".","A post with username:""sergi_gsxs"", post_id: ""2524901963518148613"", post_type: ""static-image"", likes: 38, comments: 0, date_posted: ""2021-03-08T13:56:30"".","{'post_type': 'static-image', 'username': 'sergi_gsxs'}",sergi_gsxs
2466954311736614619,static-image,41,5,2020-12-18T15:04:52,"A post with username:""sergi_gsxs"", post_id: ""2466954311736614619"", post_type: ""static-image"", likes: 41, comments: 5, date_posted: ""2020-12-18T15:04:52"".","A post with username:""sergi_gsxs"", post_id: ""2466954311736614619"", post_type: ""static-image"", likes: 41, comments: 5, date_posted: ""2020-12-18T15:04:52"".","{'post_type': 'static-image', 'username': 'sergi_gsxs'}",sergi_gsxs
2005411930420194528,static-image,46,2,2019-03-22T19:42:33,"A post with username:""sergi_gsxs"", post_id: ""2005411930420194528"", post_type: ""static-image"", likes: 46, comments: 2, date_posted: ""2019-03-22T19:42:33"".","A post with username:""sergi_gsxs"", post_id: ""2005411930420194528"", post_type: ""static-image"", likes: 46, comments: 2, date_posted: ""2019-03-22T19:42:33"".","{'post_type': 'static-image', 'username': 'sergi_gsxs'}",sergi_gsxs
1984065075820132973,static-image,40,3,2019-02-21T08:50:09,"A post with username:""sergi_gsxs"", post_id: ""1984065075820132973"", post_type: ""static-image"", likes: 40, comments: 3, date_posted: ""2019-02-21T08:50:09"".","A post with username:""sergi_gsxs"", post_id: ""1984065075820132973"", post_type: ""static-image"", likes: 40, comments: 3, date_posted: ""2019-02-21T08:50:09"".","{'post_type': 'static-image', 'username': 'sergi_gsxs'}",sergi_gsxs
